Смерти/д.н.,ср. кол-во рака в г.,ср. кол-во смертей в г.,ср. кол-во диагнозов/д.н.,медиан. доход,Население графства,% бедности,кол-во исслед./д.н. в округе,ср. возраст в округе,ср. возраст м. в округе,ср. возраст ж. в округе,ср. размер дом-ва,% женатых,% 18-24 без 11 классов,% 18-24 оконч. 11 классов,% 18-24 оконч. бакалавр,% >25 оконч. 11 классов,% >25 оконч. бакалавр,% >16 работают,% >16 не работают,% с частной мед. страховкой,% с гос. мед. страховкой,% раса белые,% раса черн.,% раса азиаты,% раса другие,отн. кол-ва детей к женщинам
167.2,134,53,420.3,47964,18409,14,0,51.3,50.3,52,2.26,53,10,27.4,0,23.9,13.3,44.7,15.2,62.3,44.5,90.1192,0.6538,0.9385,1.4711,4.0643
154.6,8857,3377,414.5,56877,2361026,17.1,57.17853171,34.5,33.5,35.5,3.24,48.4,15.7,36.2,4.7,25.8,13.4,52.4,12.9,56.3,35,64.6104,6.2652,6.1851,17.4563,5.4753
168.9,6346,2389,452,55803,1501335,18.1,239.1205161,35.5,34.2,36.8,2.76,45,13.9,29.5,7.2,22.3,19.1,55.3,11.8,63.2,35.2,59.5868,9.9574,15.0416,6.8865,5.3845
150.4,216,75,433,68166,58792,14.1,102.0547013,35,34.2,35.7,3.33,51,10.5,38.1,5.1,24.4,13.4,60.1,12.2,64.5,31.2,84.5319,0.7801,2.6634,6.9392,6.5369
168,7241,2778,423.1,51951,2128133,20.4,62.02619855,32.5,31.4,33.6,3.33,45.4,16,33.6,6,26.2,12.3,52.3,12.6,54.4,35.7,62.1541,8.5492,6.6783,17.0387,6.0076
157.1,13294,4895,434.9,66034,3299521,14.7,139.1111013,35.1,33.7,36.5,2.86,47.2,10.9,32.2,9.6,19,22.1,56.7,8.7,66.6,28.4,70.8517,5.0658,11.4502,6.7073,4.954
145.1,3948,1387,428.9,83788,864816,12.1,445.1814027,38.5,38.4,38.6,2.32,38.8,5.9,18.2,28.7,12.7,32.6,64.7,6.8,72,27.8,48.7273,5.5693,33.8295,6.4689,3.6737
168.9,2718,1065,432.1,51527,726106,20.7,60.59721308,33.5,32.4,34.6,3.16,47.9,18.7,30.8,5,26.4,12.5,52.7,13.7,57.2,37.7,57.0021,7.0937,14.7855,11.6921,6.1484
140,3648,1186,447,100806,765135,7.5,218.2621367,39.5,38.2,40.8,2.85,51.9,11.7,25.5,16.2,16.5,27.1,64.1,6.7,76,25.8,54.9764,2.5963,26.5581,9.4475,5.0156
142.3,1912,664,433,62116,444769,17.4,229.3325299,33.6,32.4,35,2.92,44.9,11.1,19.2,9.5,17.7,19.2,58.4,8,63.2,31.9,74.2838,2.0023,5.163,13.2679,4.6033
135,7334,2355,420,97219,1918044,8.5,410.3138406,36.8,35.9,37.8,2.95,53.2,10.6,25.8,16.8,15.2,26.1,61.9,7.7,74.1,24.8,48.3047,2.586,33.7609,9.8343,5.5418
145.4,1225,396,450.4,64257,274146,16.1,83.89690165,37,35.9,38.3,2.72,44.9,8.5,21.9,8.7,15.5,23.2,59.4,7.6,68.3,29.9,80.5454,0.9414,4.4033,8.9903,4.5392
192,1108,465,478.8,43661,179533,14.7,5.570006628,42.2,40.2,43.9,2.54,49.1,12,27.5,6.3,25.8,12.8,47.9,10.3,56.4,44.8,86.7605,0.9992,2.6461,2.2817,3.9587
158,16,9,312.8,47293,2967,13.8,0,54.5,54.4,55.1,2.38,52.4,40.7,39.8,0,34.5,14.8,42.4,8,58.8,49,96.425,0.0993,0.0331,0.3972,2.0737
192.6,290,133,430.4,38641,43554,21.1,160.7200257,47.8,45.9,49,2.26,52.1,13.9,35.9,6,24.9,15.5,44.8,12.7,53.4,50.9,85.9483,1.4147,1.5765,1.4968,4.7403
176.7,2017,744,472.3,67106,436092,12.3,392.1190941,37.3,35.9,38.7,2.89,46.8,14.7,32.5,6.5,23.8,17.6,55.3,11.4,69.2,32.4,53.8143,13.9076,15.0604,8.7198,5.1638
163.1,2647,962,463.4,66949,502146,11.3,213.0854373,40.8,39.2,42.6,2.59,47.2,13.2,28,6.4,19.9,21.4,59.5,8.1,69.2,32.1,77.2573,1.5616,3.8905,10.9302,5.0651
164.9,2075,793,433.4,50917,538388,18.1,105.8716019,33.5,32.3,34.8,3.08,47.9,12.2,37,4,28.3,11,52.3,15.2,54.7,39.8,75.2948,2.7182,5.4156,10.659,6.0259
155.1,386,155,395.8,51827,96463,15.2,0,35.4,34.1,36.4,2.95,53,18.9,31.9,4.5,24.8,12.1,51.6,13.2,54.5,41.4,69.5644,2.1512,14.7448,6.1388,6.7156
174,372,139,473.2,40782,63308,18.2,0,40.5,39.3,42,2.63,51.4,14.8,45.1,1.8,30.5,9.6,46.6,13.2,53.1,47.8,86.4438,0.5083,1.281,4.6095,4.097
189.4,98,41,455.5,34961,13069,19.9,0,50.3,50.1,50.5,2.38,53.8,23.7,50.1,10.6,31,15,42.2,9,44.8,49.5,85.3212,1.1291,1.503,3.5594,1.4706
155.2,1436,564,391.5,42360,459863,28.1,0,30.3,29.6,30.9,3.36,47.5,21.1,33.5,3.3,25.2,9.5,52.5,12,43.1,46.3,80.8679,1.7281,3.3978,9.1055,6.8259
159.9,412,142,490.8,49476,53709,14.3,18.61885345,48.6,46.4,51.1,2.28,51.8,16.7,28.6,3.5,29.7,13.7,42.3,12.9,64,46.2,88.0564,1.8325,1.3776,3.0844,3.9622
146.1,3629,1234,432.7,74967,850536,11.5,43.50197993,37.1,35.8,38.4,3.08,50.6,13.7,27.4,7.9,19,20,60.4,8.6,66.8,29.1,78.8211,1.7914,7.0773,7.1546,5.3401
158.9,760,282,428.2,54509,213016,19.5,117.3620761,30.9,30.5,31.4,2.77,43.1,6,23.9,13.3,19.7,19.7,55.4,9,70.5,27.6,66.0858,2.609,13.662,10.7819,4.1094
182.8,291,116,444.6,41403,74492,21.6,255.0609461,32.1,31,33.2,2.87,49.5,15.2,35.5,5.6,25,9.9,46.4,14.8,52.1,44.9,70.0873,3.3444,7.1858,10.0195,7.982
162.4,1522,557,420.8,59316,491337,12.9,926.0446496,33,32.6,33.5,2.98,49.7,22,33.5,6.8,28.8,15.2,65.2,7.9,60.7,29.8,82.8198,3.2393,3.8056,5.4475,6.2885
165.7,62,24,416.8,38140,16496,22.5,181.8622696,30.1,29.4,30.4,2.56,45.1,8.8,23.4,6.1,25.9,14.3,49.9,10.4,53.6,44.4,87.0305,1.8624,1.7764,4.5916,4.8983
140.1,2362,753,429.5,65359,631096,11.2,456.3489548,36.1,35,37.4,2.63,50.5,16.5,31.1,12.3,20.4,26,65.7,7.2,70.3,26,73.0697,10.2405,5.3732,5.8173,5.7821
105.2,68,17,389.4,44508,12352,14.7,0,49.6,48,51.6,2.25,60.6,20.1,44.8,2.2,26,23.5,,8.2,51.8,42.8,87.3665,0.9036,0.7475,7.5489,4.1154
188.6,24,13,369.7,36294,3615,20,0,47.6,46.8,48.4,2.3,57.8,28.9,22.6,5.4,31.6,14.3,56.6,4.5,51.2,51.4,95.7579,1.1889,0.0811,0.2972,5.0287
124.1,1159,340,409.9,71546,319372,13.3,629.3601192,35.8,34.4,37.1,2.45,47.7,5.6,19,15.9,12.7,31.8,65.5,6.1,78.3,21.8,88.4022,0.9041,4.3137,2.8423,4.1715
158.4,215,80,417.3,85885,65065,4,46.10773842,37.5,36.6,38.1,2.57,58.6,11.5,29.7,23,14.7,32.8,67.4,5.5,82.8,19.9,86.7461,1.0017,6.0034,2.1368,5.0998
140.8,105,39,392.2,48840,18658,12.4,0,49.2,45.8,51.4,2.21,55.5,19.1,42.7,4.1,26.7,21.3,51.9,5.9,63,40.7,93.8555,2.0045,0.2786,0.8247,4.8935
124.5,10,4,373.7,52273,1829,13.4,1093.493712,37,37.3,36.5,2.63,53.7,22.4,23.6,10.3,33.6,17.3,61.9,9.3,61,26.3,96.3037,0.2997,1.5485,0.2997,5.2995
139.4,50,15,416.9,69115,9303,8.5,0,48,47,48.1,2.13,57.4,7,53.2,0,22,25.9,65.6,5.4,76.8,26.8,94.0127,1.3135,0.6349,1.1055,3.6007
